"권리별(1)",권리별(2),2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023
"권리별(1)",권리별(2),합계,개인,개인,개인,법인,법인,법인,합계,개인,개인,개인,법인,법인,법인,합계,개인,개인,개인,법인,법인,법인,합계,개인,개인,개인,법인,법인,법인,합계,개인,개인,개인,법인,법인,법인,합계,개인,개인,개인,법인,법인,법인,합계,개인,개인,개인,법인,법인,법인,합계,개인,개인,개인,법인,법인,법인,합계,개인,개인,개인,법인,법인,법인
"권리별(1)",권리별(2),계,계,내국인,외국인,계,내국인,외국인,계,계,내국인,외국인,계,내국인,외국인,계,계,내국인,외국인,계,내국인,외국인,계,계,내국인,외국인,계,내국인,외국인,계,계,내국인,외국인,계,내국인,외국인,계,계,내국인,외국인,계,내국인,외국인,계,계,내국인,외국인,계,내국인,외국인,계,계,내국인,외국인,계,내국인,외국인,계,계,내국인,외국인,계,내국인,외국인
"계",청구서기준,274424,88821,78822,9999,185603,145992,39611,286586,92196,80165,12031,194390,155105,39285,289656,92346,79489,12857,197310,155213,42097,286657,82250,80264,1986,204407,150166,54241,292942,87520,85526,1994,205422,159908,45514,290794,84560,82683,1877,206234,163036,43198,328310,98749,96656,2093,229561,183095,46466,312807,90013,87896,2117,222794,175437,47357,344940,102573,99488,3085,242367,193050,49317
"계",상품류기준,304805,104019,85335,18684,200786,154479,46307,319515,107678,86459,21219,211837,166073,45764,320298,108218,84535,23683,212080,164238,47842,318495,87753,85574,2179,230742,159713,71029,316644,94905,92662,2243,221739,169707,52032,314002,91856,89778,2078,222146,172958,49188,350328,105542,103300,2242,244786,193237,51549,332673,96117,93853,2264,236556,185346,51210,373552,110750,107416,3334,262802,207398,55404
"특허",소계,101873,13714,13309,405,88159,63009,25150,108875,14353,13934,419,94522,68466,26056,120662,17192,16689,503,103470,74158,29312,119012,18728,18243,485,100284,70984,29300,125661,19605,19162,443,106056,75690,30366,134766,21077,20606,471,113689,83275,30414,145882,21171,20661,510,124711,89690,35021,135180,16871,16376,495,118309,82826,35483,134734,15680,15207,473,119054,84108,34946
"실용신안",소계,3253,1708,1662,46,1545,1411,134,2854,1470,1424,46,1384,1270,114,2993,1554,1519,35,1439,1291,148,2715,1465,1417,48,1250,1104,146,2417,1293,1260,33,1124,978,146,2056,1048,1015,33,1008,827,181,1817,903,871,32,914,747,167,1452,718,695,23,734,593,141,1249,565,546,19,684,552,132
"디자인",청구서기준,54551,22493,21788,705,32058,28148,3910,55602,23139,21587,1552,32463,28655,3808,49293,21801,19894,1907,27492,24158,3334,49905,20599,20374,225,29306,23776,5530,50956,20965,20726,239,29991,25285,4706,49017,20387,20171,216,28630,24937,3693,54880,23106,22797,309,31774,27991,3783,52118,19881,19610,271,32237,27808,4429,46635,17629,17264,365,29006,24712,4294
"디자인",복수디자인기준,54689,22499,21794,705,32190,28174,4016,55621,23139,21587,1552,32482,28674,3808,49293,21801,19894,1907,27492,24158,3334,49905,20599,20374,225,29306,23776,5530,50956,20965,20726,239,29991,25285,4706,49017,20387,20171,216,28630,24937,3693,54880,23106,22797,309,31774,27991,3783,52118,19881,19610,271,32237,27808,4429,46635,17629,17264,365,29006,24712,4294
"상표",청구서기준,114747,50906,42063,8843,63841,53424,10417,119255,53234,43220,10014,66021,56714,9307,116708,51799,41387,10412,64909,55606,9303,115025,41458,40230,1228,73567,54302,19265,113908,45657,44378,1279,68251,57955,10296,104955,42048,40891,1157,62907,53997,8910,125731,53569,52327,1242,72162,64667,7495,124057,52543,51215,1328,71514,64210,7304,162322,68699,66471,2228,93623,83678,9945
"상표",다류상표기준,144990,66098,48570,17528,78892,61885,17007,152165,68716,49514,19202,83449,67663,15786,147350,67671,46433,21238,79679,64631,15048,146863,46961,45540,1421,99902,63849,36053,137610,53042,51514,1528,84568,67754,16814,128163,49344,47986,1358,78819,63919,14900,147749,60362,58971,1391,87387,74809,12578,143923,58647,57172,1475,85276,74119,11157,190934,76876,74399,2477,114058,98026,16032
