date,application_lag1,application_lag2,corp_domestic_applications,corp_domestic_registrations,loan_avg,loan_avg_lag1,loan_avg_lag2,manufacturing_productivity,registration_lag1,registration_lag2,regular_avg_wage,rnd_total,rnd_total_by_industry_app_sw,rnd_total_by_industry_consulting,rnd_total_by_industry_embedded_sw,rnd_total_by_industry_info_svc,rnd_total_by_industry_programming_svc,rnd_total_by_industry_system_sw,rnd_total_by_industry_virtual_asset,rnd_total_lag1,rnd_total_lag1_x,rnd_total_lag1_y,rnd_total_lag2,rnd_total_lag2_x,rnd_total_lag2_y,service_productivity,application_lag1_decomposed,application_lag2_decomposed,corp_domestic_applications_decomposed,corp_domestic_registrations_decomposed,loan_avg_decomposed,loan_avg_lag1_decomposed,loan_avg_lag2_decomposed,manufacturing_productivity_decomposed,registration_lag1_decomposed,registration_lag2_decomposed,regular_avg_wage_decomposed,rnd_total_decomposed,rnd_total_by_industry_app_sw_decomposed,rnd_total_by_industry_consulting_decomposed,rnd_total_by_industry_embedded_sw_decomposed,rnd_total_by_industry_info_svc_decomposed,rnd_total_by_industry_programming_svc_decomposed,rnd_total_by_industry_system_sw_decomposed,rnd_total_by_industry_virtual_asset_decomposed,rnd_total_lag1_decomposed,rnd_total_lag1_x_decomposed,rnd_total_lag1_y_decomposed,rnd_total_lag2_decomposed,rnd_total_lag2_x_decomposed,rnd_total_lag2_y_decomposed,service_productivity_decomposed
1995-01-01,118519.0,115291.5,119855.5,67347.5,11.21,11.21,5.705,180.6,66229.0,64619.0,257.675,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.75,118539.73325557001,115327.7945080432,119869.18634310093,67352.14075694683,12.227378070970852,11.799812633789069,7.758910817853479,171.25796789914452,66188.11714582064,64646.95130483935,257.2713155198259,5086057.823871042,27462.917354201778,865.535213922881,84.58851301381526,1345.5777992104681,6497.710562408183,34919.08739942283,10.06127641368737,4569870.702797188,84126.1337201097,7790638.03544143,5485927.438837664,37823.29142211282,7743193.171677576,33.84176038711759
1995-02-01,118521.38985054853,115290.923749034,119846.18837039587,67343.69054175839,12.179850854934818,11.74526404817435,7.560960260360786,178.1015095303346,66229.93352898568,64618.78318322107,257.6667299420701,4935880.047590891,27901.448113235107,867.2284239182659,90.02160435977996,1266.4112829753863,6890.387410204357,34577.08885848936,-0.22041568412463988,4935880.089489089,80490.74751247924,7771841.769260145,4935879.97588473,40295.25185481282,7721315.424489395,33.87113909982833,118529.07738324984,115285.38244852626,119815.7075106659,67330.73252033675,12.195003654079672,11.801451240256366,7.932860599672217,172.23746686433952,66243.25887775481,64616.27585085234,257.5156329661164,4923848.954223721,27937.35736041043,867.2129719610192,90.42731259272675,1260.1869378605236,6921.727475515931,34547.9966332245,-1.3878249281022446,4964807.651233734,80194.55898848882,7770274.946903915,4854634.440805148,40497.58351999697,7719591.686158746,33.85324263211972
1995-03-01,118522.99885132295,115290.53588736754,119839.91783807232,67341.1269541957,12.17120863209706,11.772370233985512,7.788030203208829,176.50383455514438,66230.56144427859,64618.63745384606,257.6124070716104,4935880.0359309055,27901.43293420761,867.2060849251798,90.01952866556816,1266.4199576801286,6890.398948914438,34577.080170906855,-0.19782369978482311,4935880.068353673,80490.77045514506,7771841.6954626,4935879.981580243,40295.26145002497,7721315.3204875225,33.855753851404785,118522.13763819658,115277.81457702405,119811.32527569403,67330.19382871939,12.167605347766061,11.805352656761336,8.106880545125124,172.97490420201498,66241.34880196444,64609.06781610232,257.50305748339366,4919275.874065717,27951.743279136357,867.3540455168264,90.66287666318142,1255.9262988855132,6939.691252938441,34530.47481853659,-1.3672750778041123,4981130.882914279,80032.67061494863,7769232.025440087,4834884.050458496,40611.967158838306,7718502.095525737,33.842517145757206
1995-04-01,118524.22777202885,115290.23968921317,119835.12800410984,67339.16935847767,12.159382003138909,11.799403068351994,8.030793203316886,175.30633920073518,66231.04080980974,64618.52624242663,257.56190616998066,4935880.023829627,27901.41670387989,867.1821669007405,90.01730511335275,1266.4292456017183,6890.411286789484,34577.07086916791,-0.17366709256946225,4935880.046382018,80490.79507028357,7771841.619243335,4935879.987501103,40295.27172356693,7721315.212549509,33.83936335374455,118522.46378906719,115278.34628647228,119814.20093529992,67331.32785933393,12.138310479774425,11.807460272326603,8.280016485333807,173.73619463257558,66243.76151946805,64609.538058185644,257.51987255272246,4909950.966326166,27979.16282397335,867.4619501182129,90.98360830425456,1251.6056689328993,6962.485165569591,34512.01723868037,-1.879778616115213,5002398.893883046,79822.34010784276,7768256.317535808,4807239.388284003,40752.888918718505,7717260.243220257,33.83216881725455
1995-05-01,118524.91803335412,115290.07337209932,119832.43699361126,67338.07032836159,12.145721103190802,11.822632132688305,8.257202138139503,174.6620691526276,66231.3097872653,64618.463891611194,257.52216941050176,4935880.012908822,27901.40156507134,867.15982524095,90.01522696044591,1266.4379214304026,6890.422794913155,34577.06218040294,-0.15113516139827513,4935880.026516627,80490.8181144013,7771841.550837732,4935879.992854375,40295.281320104084,7721315.115140805,33.82413691985233,118520.05883680782,115276.09000985065,119813.62382675876,67330.9302206228,12.10958586401082,11.810073720627365,8.453105241202254,174.51218428643384,66244.63760478425,64607.70913993395,257.5257202437316,4900848.927451782,28005.039661791736,867.5613952166692,91.31106971950581,1246.7975649683326,6986.0906086190635,34491.74587570226,-2.4500574403489206,5024551.284841625,79605.25750159714,7767104.886880098,4779623.695391462,40900.56122169258,7715930.717819178,33.821774960329
1995-06-01,118525.17307543753,115290.01199765055,119831.4417264923,67337.6650255851,12.129362112258393,11.8436567376102,8.482476537948315,174.46710751815007,66231.40876101241,64618.44102553168,257.4900002761806,4935880.002420869,27901.38650064679,867.1375597539418,90.01315469477238,1266.4465677271867,6890.434246485031,34577.05352118313,-0.12871404457873256,4935880.007399424,80490.84113350982,7771841.48554316,4935879.998006026,40295.29088401966,7721315.021592934,33.80905071243324,118520.37807426097,115276.36492802265,119816.30839655056,67331.97062235916,12.080149484323893,11.811986675279016,8.625643743298582,175.30775515395968,66247.20054783556,64608.05473347292,257.5431872062208,4890318.764375191,28035.70010610957,867.6626320450407,91.6728572452113,1241.8922928411382,7011.738199715089,34470.62602706518,-3.123765534416052,5048554.168353301,79367.88689822685,7765984.49831224,4748671.758731721,41060.000153410736,7714535.071786478,33.81146064108139
1995-07-01,118525.031410297,115290.0462674267,119831.99230248311,67337.89194619865,12.11140534925387,11.861168994255895,8.692202798935142,174.67567483464722,66231.35283773286,64618.454123531475,257.4669502114595,4935879.993023675,27901.372474960437,867.1167966346288,90.01122108377511,1266.4546306604118,6890.444908429055,34577.04544616864,-0.10783903472911903,4935879.990231512,80490.86265182574,7771841.427436,4935880.002632388,40295.299802703514,7721314.937774153,33.79506966743345,118517.27919121823,115274.0851531445,119818.32279890524,67332.61835284634,12.027744692006562,11.796098752442404,8.646774891777392,176.73002204545,66247.89254541654,64606.20218743955,257.58858148064695,4880542.869172347,28063.328880069443,867.7516984146065,92.02350909182658,1236.757549305755,7036.902539793438,34448.81216667461,-3.8077239894260146,5072214.901016571,79135.82018551475,7764749.718499302,4719177.32057667,41218.01691477241,7713122.50278799,33.80192482705769
1995-08-01,118524.54101630706,115290.16461551178,119833.9017472655,67338.67464865524,12.090700603312458,11.876387092728438,8.900488273115906,175.24071003375465,66231.16074174494,64618.49883966362,257.4509351456628,4935879.984071191,27901.358545085266,867.0961409271762,90.00929625150613,1266.4626519313854,6890.455497532828,34577.037412847356,-0.08710673157834364,4935879.973834653,80490.88411364045,7771841.372500182,4935880.007050969,40295.30867534864,7721314.857921983,33.78125297348425,118520.4424795012,115282.52164105642,119829.66191588066,67337.08785659316,12.015443896610785,11.800728416589974,8.972828980508623,176.9193950858087,66240.25948991584,64612.60197719711,257.5129965953974,4890599.663881209,28032.474284623233,867.6232648464347,91.63392812970004,1243.3645112105391,7006.171020858711,34478.17965035639,-3.110223714188413,5044121.923698495,79421.53501996226,7766426.22167856,4800933.741693863,41020.02922931172,7714895.3691701945,33.78638803850299
1995-09-01,118523.7593402585,115290.35318155985,119836.94633772314,67339.92148538317,12.067858872369817,11.888731650028044,9.10033152147525,176.099025644681,66230.85495598883,64618.569943793926,257.4422949643364,4935879.975869189,27901.345179768647,867.0762869183018,90.00744486777094,1266.4703619275306,6890.465657467464,34577.02969123616,-0.06721479006015724,4935879.958768873,80490.90479888844,7771841.322611763,4935880.011110853,40295.31720372694,7721314.784763791,33.7680681146051,118522.81088886327,115288.94527544663,119839.36086733952,67340.9133346527,11.993238174953765,11.813009407763323,9.169609125317661,177.3950539671465,66235.03021489535,64617.52901449017,257.4814782548752,4905202.995387293,27989.56198815672,867.431189305768,91.08862319993604,1251.6640930417184,6966.134745494852,34514.05962176546,-2.1072903126622378,5006945.840249046,79792.02957741996,7768438.928089797,4863329.150040677,40766.423449893475,7717159.272829997,33.771086850753484
1995-10-01,118522.78111062098,115290.58911791036,119840.7570615432,67341.4814034877,12.043764670652088,11.897991072503796,9.28581163962428,177.14989674538253,66230.47251474878,64618.658828344225,257.4404256292073,4935879.9686273895,27901.332775499184,867.0578262839803,90.0057222015742,1266.477530876857,6890.475086834151,34577.02251145565,-0.04875330581506577,4935879.9454238275,80490.92408689833,7771841.279000776,4935880.01470704,40295.325133673636,7721314.720170174,33.75590170518637,118522.74170356955,115294.64480674193,119849.04569129307,67344.60181385012,11.9696919222595,11.823279876237732,9.359171046024606,178.0638613986803,66225.72981853105,64621.62168698193,257.4408425059397,4931195.172115821,27912.936030335324,867.1184475854385,90.15182740853503,1265.1445459152067,6898.545962587687,34572.53445333605,-0.35632467787540706,4944080.522289351,80418.44789182619,7771611.514526528,4960413.373491059,40341.41131981822,7720905.298012217,33.756011619969286
